Start,Stop
11:07:05,11:08:12
11:09:23,11:10:35
11:12:34,11:13:49
11:14:55,11:15:23
11:16:32,11:17:06
11:17:44,11:19:39
11:20:49,11:22:43
11:22:19,11:26:19
12:08:10,12:09:06
12:12:24,12:13:42
12:17:35,12:20:23
12:20:47,12:21:33
12:25:39,12:26:46
12:26:59,12:27:58
1:08:05,1:09:13
1:09:14,1:11:12
1:12:23,1:12:56
1:13:32,1:16:38
1:17:27,1:19:47
1:20:49,1:21:53
11:06:03,11:07:12
11:07:15,11:09:17
11:09:23,11:10:45
11:10:34,11:11:26
11:11:11,11:12:36
11:12:31,11:13:55
11:13:42,11:14:16
11:14:24,11:17:44
11:19:56,11:20:28
11:23:15,11:24:33
12:11:10,12:12:21
12:12:21,12:13:56
12:13:36,12:14:46
12:15:30,12:16:17
12:16:08,12:17:32
12:20:43,12:22:55
